name,id,price,type,date
Nescafe Cafe sữa đá 200ml,N027,15000,VNPAY,2023-06-16 11:15:21.240000
Cozy trà đào sả,N0011,12000,VNPAY,2023-06-16 11:11:58.762000
Nước tăng lực Sting vàng lon 320ml,N010,15000,VNPAY,2023-06-16 11:11:01.525000
Sữa đậu nành vị đậu đỏ,SD0016,7000,VNPAY,2023-06-16 10:02:23.704000
Sữa đậu nành vị đậu đỏ,SD0016,7000,VNPAY,2023-06-16 10:01:39.380000
Snack Hành Oishi,B0056,6000,CASH_AT_MACHINE,2023-06-16 09:54:30.999000
Nescafe Cafe sữa đá 200ml,N027,15000,VNPAY,2023-06-16 09:12:30.922000
Nước lọc lavie 500ml,N001,10000,CASH_AT_MACHINE,2023-06-16 08:50:51.277000
Nước lọc lavie 500ml,N001,10000,CASH_AT_MACHINE,2023-06-16 08:26:26.937000
Sữa đậu nành Fami nguyên chất 200ml,SD0011,6000,MOMO,2023-06-16 07:35:51.523000
Sữa đậu nành Fami nguyên chất 200ml,SD0011,6000,MOMO,2023-06-15 22:13:50.989000
Bánh trứng sữa mềm Belgi vị truyền thống,B040,5000,CASH_AT_MACHINE,2023-06-15 19:07:09.152000
Nutri Boost dâu sữa yến mạch 297ml,N021,15000,CASH_AT_MACHINE,2023-06-15 19:06:54.023000
Bánh trứng sữa mềm Belgi vị truyền thống,B040,5000,CASH_AT_MACHINE,2023-06-15 18:33:46.276000
Nước suối Aquafina 500ml,N002,10000,CASH_AT_MACHINE,2023-06-15 17:27:19.160000
Snack Hành Oishi,B0056,6000,MOMO,2023-06-15 16:27:50.187000
Nước suối Aquafina 500ml,N002,10000,CASH_AT_MACHINE,2023-06-15 14:32:38.105000
Snack Bắp vị phô mai,B031,6000,CASH_AT_MACHINE,2023-06-15 13:08:58.575000
Goodmood vị sữa chua,N108,12000,CASH_AT_MACHINE,2023-06-15 13:08:30.401000
Kẹo cao su Doublemint ,B047,6000,CASH_AT_MACHINE,2023-06-15 13:01:34.275000
Trà sữa TeaBreak,N109,15000,VNPAY,2023-06-15 11:22:17.708000
Snack bí đỏ ,B043,6000,VNPAY,2023-06-15 11:20:22.385000
Bánh chocopie,DA008,5000,MOMO,2023-06-15 10:50:13.386000
Bánh chocopie,DA008,5000,CASH_AT_MACHINE,2023-06-15 09:35:45.326000
Sữa đậu nành vị đậu đỏ,SD0016,7000,MOMO,2023-06-15 08:26:10.034000
Bánh trứng sữa mềm Belgi vị truyền thống,B040,5000,MOMO,2023-06-15 08:25:30.343000
Wake up 247,N00038,15000,MOMO,2023-06-15 08:00:17.442000
Bánh trứng sữa mềm Belgi vị truyền thống,B040,5000,CASH_AT_MACHINE,2023-06-15 07:48:04.360000
C2 dâu 455ml,N00049,15000,CASH_AT_MACHINE,2023-06-15 07:47:27.384000
ICE Đào,N029,12000,CASH_AT_MACHINE,2023-06-15 01:52:40.737000
Snack Hành Oishi,B0056,6000,CASH_AT_MACHINE,2023-06-15 01:51:57.741000
Snack Hành Oishi,B0056,6000,CASH_AT_MACHINE,2023-06-15 01:50:37.725000
Bánh trứng Custas ,DA010,5000,CASH_AT_MACHINE,2023-06-15 01:50:19.930000
Nước ngọt Pet Coca Cola 390ml,N004,10000,CASH_AT_MACHINE,2023-06-14 22:26:04.976000
Bò húc lon 250ml,N011,15000,CASH_AT_MACHINE,2023-06-14 21:30:29.391000
Nước thạch Gumi vị vải,N038,15000,CASH_AT_MACHINE,2023-06-14 21:30:03.895000
Snack Hành Oishi,B0056,6000,VNPAY,2023-06-14 21:08:04.281000
Ôlong Teaplus,N103,12000,VNPAY,2023-06-14 21:07:31.859000
Bánh trứng Custas ,DA010,5000,CASH_AT_MACHINE,2023-06-14 20:53:12.927000
Snack Tôm Cay ,B028,6000,VNPAY,2023-06-14 17:35:37.009000
Nescafe Cafe sữa đá 200ml,N027,15000,CASH_AT_MACHINE,2023-06-14 14:31:51.780000
Sting dâu lon,N000034,15000,MOMO,2023-06-14 14:01:04.934000
Bò húc lon 250ml,N011,15000,MOMO,2023-06-14 13:25:28.525000
Nước tăng lực Sting vàng lon 320ml,N010,15000,MOMO,2023-06-14 12:24:15.471000
Snack Bắp vị phô mai,B031,6000,VNPAY,2023-06-14 08:56:05.693000
Sữa đậu nành vị đậu đỏ,SD0016,7000,VNPAY,2023-06-14 08:55:33.803000
Sữa đậu nành vị đậu đỏ,SD0016,7000,VNPAY,2023-06-14 08:54:42.872000
Snack bí đỏ ,B043,6000,VNPAY,2023-06-14 08:54:04.238000
Sữa đậu nành Fami nguyên chất 200ml,SD0011,6000,MOMO,2023-06-14 08:24:52.497000
Bánh trứng sữa mềm Belgi,B0060,5000,MOMO,2023-06-14 08:24:27.121000
Nước gạo rang TH,N00035,15000,MOMO,2023-06-14 07:58:17.650000
Snack Hành Oishi,B0056,6000,MOMO,2023-06-14 07:46:38.822000
Snack Tôm Cay ,B028,6000,CASH_AT_MACHINE,2023-06-13 23:48:44.191000
Snack Hành Oishi,B0056,6000,CASH_AT_MACHINE,2023-06-13 23:48:23.508000
Bánh que cam Stck Biscuit,B034,7000,CASH_AT_MACHINE,2023-06-13 23:48:08.957000
Bánh trứng sữa mềm Belgi vị truyền thống,B040,5000,CASH_AT_MACHINE,2023-06-13 21:24:26.423000
Bánh trứng Custas ,DA010,5000,CASH_AT_MACHINE,2023-06-13 21:24:06.768000
Bánh trứng sữa mềm Belgi vị truyền thống,B040,5000,CASH_AT_MACHINE,2023-06-13 21:23:35.027000
Bánh trứng Custas ,DA010,5000,CASH_AT_MACHINE,2023-06-13 21:22:54.061000
Goodmood vị sữa chua,N108,12000,VNPAY,2023-06-13 20:08:50.199000
Bánh trứng Custas ,DA010,5000,VNPAY,2023-06-13 19:09:02.622000
Sữa đậu nành vị đậu đỏ,SD0016,7000,CASH_AT_MACHINE,2023-06-13 16:24:05.053000
ICE Đào,N029,12000,CASH_AT_MACHINE,2023-06-13 16:18:22.336000
Nước ngọt Pet Coca Cola 390ml,N004,10000,CASH_AT_MACHINE,2023-06-13 16:15:21.806000
Nước lọc lavie 500ml,N001,10000,CASH_AT_MACHINE,2023-06-13 16:01:31.811000
Nước tinh khiết Dasani 500ml,N003,10000,CASH_AT_MACHINE,2023-06-13 15:19:47.945000
Snack Bắp vị phô mai,B031,6000,MOMO,2023-06-13 15:11:38.593000
Ôlong Teaplus,N103,12000,VNPAY,2023-06-13 15:09:45.155000
Cozy tắc mật ong ,B018,12000,CASH_AT_MACHINE,2023-06-13 15:08:57.871000
Snack bí đỏ ,B043,6000,CASH_AT_MACHINE,2023-06-13 15:06:37.466000
Kẹo cao su Extra vị dâu,B041,7000,MOMO,2023-06-13 14:39:48.450000
Bánh que cam Stck Biscuit,B034,7000,MOMO,2023-06-13 14:38:38.129000
Nutri Boost dâu sữa yến mạch 297ml,N021,15000,MOMO,2023-06-13 13:41:11.677000
Cozy tắc mật ong ,B018,12000,VNPAY,2023-06-13 13:30:38.160000
TH trà xanh,N00033,12000,CASH_AT_MACHINE,2023-06-13 13:01:50.738000
C2 dâu 455ml,N00049,15000,VNPAY,2023-06-13 12:18:35.206000
Nước suối Aquafina 500ml,N002,10000,CASH_AT_MACHINE,2023-06-13 11:49:49.565000
Nescafe Cafe sữa đá 200ml,N027,15000,VNPAY,2023-06-13 10:40:29.132000
Wake up 247,N00038,15000,MOMO,2023-06-13 09:35:47.513000
Nước tăng lực Sting vàng lon 320ml,N010,15000,MOMO,2023-06-13 09:35:10.995000
Nước tăng lực Sting vàng lon 320ml,N010,15000,MOMO,2023-06-13 09:34:03.991000
Milo 180ml sữa hộp,N018,10000,MOMO,2023-06-13 09:16:38.960000
Bánh trứng sữa mềm Belgi,B0060,5000,MOMO,2023-06-13 09:16:10.915000
Bò húc lon 250ml,N011,15000,MOMO,2023-06-13 08:03:02.647000
Bò húc lon 250ml,N011,15000,MOMO,2023-06-13 07:53:51.975000
Ôlong Teaplus,N103,12000,MOMO,2023-06-13 07:52:50.655000
Kẹo cao su Extra vị dâu,B041,7000,MOMO,2023-06-13 07:52:24.623000
Nescafe Cafe sữa đá 200ml,N027,15000,VNPAY,2023-06-12 21:27:14.710000
Snack Bắp vị phô mai,B031,6000,CASH_AT_MACHINE,2023-06-12 21:21:34.292000
Cozy tắc mật ong ,B018,12000,CASH_AT_MACHINE,2023-06-12 21:20:44.450000
Cozy trà đào sả,N0011,12000,CASH_AT_MACHINE,2023-06-12 21:20:20.091000
Đậu phộng da cá Poca,B056,15000,VNPAY,2023-06-12 20:10:22.880000
Cozy trà đào sả,N0011,12000,VNPAY,2023-06-12 20:09:11.560000
Snack bí đỏ ,B043,6000,VNPAY,2023-06-12 20:07:58.901000
Nước tăng lực Sting vàng lon 320ml,N010,15000,CASH_AT_MACHINE,2023-06-12 18:58:34.881000
C2 dâu 455ml,N00049,15000,CASH_AT_MACHINE,2023-06-12 18:58:03.356000
Sting dâu lon,N000034,15000,CASH_AT_MACHINE,2023-06-12 18:40:19.156000
Nước tăng lực Sting vàng lon 320ml,N010,15000,CASH_AT_MACHINE,2023-06-12 18:39:35.531000
Bò húc lon 250ml,N011,15000,CASH_AT_MACHINE,2023-06-12 18:38:39.142000
Nước thạch Gumi vị vải,N038,15000,VNPAY,2023-06-12 15:37:36.374000
Bò húc lon 250ml,N011,15000,VNPAY,2023-06-12 15:27:36.131000
Nước ngọt Pet Coca Cola 390ml,N004,10000,CASH_AT_MACHINE,2023-06-12 13:53:34.371000
Snack bí đỏ ,B043,6000,CASH_AT_MACHINE,2023-06-12 13:04:18.829000
Bánh trứng sữa mềm Belgi vị truyền thống,B040,5000,VNPAY,2023-06-12 12:26:58.002000
Snack Bắp vị phô mai,B031,6000,VNPAY,2023-06-12 12:26:15.696000
Bánh que cam Stck Biscuit,B034,7000,VNPAY,2023-06-12 12:25:37.690000
Snack Phomai ,B0076,6000,VNPAY,2023-06-12 12:22:59.939000
Sting dâu lon,N000034,15000,VNPAY,2023-06-12 12:22:33.293000
