name,id,price,type,date
Snack Phomai ,B0076,6000,CASH_AT_MACHINE,2023-06-04 14:19:44.488000
Bánh que cam Stck Biscuit,B034,7000,CASH_AT_MACHINE,2023-06-04 14:19:26.346000
Bánh que cam Stck Biscuit,B034,7000,CASH_AT_MACHINE,2023-06-04 14:19:06.310000
Sting dâu lon,N000034,15000,CASH_AT_MACHINE,2023-06-04 14:01:07.025000
Wake up 247,N00038,15000,CASH_AT_MACHINE,2023-06-04 07:35:15.167000
Bánh chocopie,DA008,5000,CASH_AT_MACHINE,2023-06-04 07:04:39.711000
Nescafe Cafe sữa đá 200ml,N027,15000,MOMO,2023-06-04 06:02:27.249000
Snack Bắp vị phô mai,B031,6000,CASH_AT_MACHINE,2023-06-03 21:08:57.517000
Trà sữa TeaBreak,N109,15000,CASH_AT_MACHINE,2023-06-03 20:38:46.591000
Nước gạo rang TH,N00035,15000,CASH_AT_MACHINE,2023-06-03 18:02:31.665000
Trà xanh 0 độ,N00034,15000,CASH_AT_MACHINE,2023-06-03 16:23:02.906000
Snack Phomai ,B0076,6000,MOMO,2023-06-03 12:02:43.238000
